,Category,Frequency,Examples
178,Output File Specification,1,"[""Include the '-o tmp/import-optional-missing.neonx' option in the neonc command to specify the output file."", ""Direct the compiled output to the temporary file path 'tmp/import-optional-missing.neonx'."", ""Use the fixed temporary file path 'tmp/import-optional-missing.neonx' for the compiled output.""]"
179,Structure and Clarity,1,"['Focus on essential configuration directives without adding comments or default values.', 'Maintain a concise and specific structure in the configuration template.']"
180,Configuration Directives,1,"[""Include 'AUTHN_PROTOCOL = http' in the [auth] section."", ""Place 'AUTHN_PROTOCOL = http' before 'AUTHN_URL = /v2.0/tokens' in the [auth] section.""]"
181,Legacy Syntax,1,['Do not use modern syntax incompatible with Python 2 in the legacy execution block.']
182,Logical Flow,1,"[""Ensure the logical flow of Conway's Game of Life rules is maintained in the neighbor count calculation.""]"
183,Iteration Method,1,"['Use `functools.reduce` to iterate over students instead of `for`, `while`, or `map`.', 'Ensure `average_gpa` uses `functools.reduce` to sum GPAs and returns `None` if the students list is empty.', ""Ensure `raise_grade_all` uses `functools.reduce` to apply a method that increments each student's GPA by 1, and returns `None` if the students list is empty.""]"
184,GPA Calculation,1,"['Utilize `numpy.argmax` to find the student with the highest GPA.', 'Ensure all methods return `None` if the students list is empty.']"
185,Bucket Sorting,1,['The method should sort items into buckets based on the primary comparator and then sort each bucket using the tiebreaker comparator.']
186,FUNCTION DESIGN MAINTENANCE,1,"[""Maintain the original function design and logic, focusing solely on modifying the 'name' variable's case."", ""Avoid introducing new variables or altering the function's parameters."", ""Do not modify the function's signature or its return type.""]"
187,INLINE TRANSFORMATION,1,"[""Apply the .upper() method directly to the 'name' variable within the return statement."", 'Ensure the transformation to uppercase is performed inline within the return statement.']"
188,Comparison Type,1,['Ensure that the check_coprime_euler function performs a floating-point comparison by returning `1.0`.']
189,Function Replacement,1,['Replace the use of math.pow with the newly implemented powermod function in check_coprime_euler to avoid floating-point arithmetic and ensure the result is an integer.']
190,Arithmetic Integrity,1,"['Ensure that the powermod function performs integer arithmetic, particularly in the modulus operation, to maintain the integrity of modular arithmetic.', 'The final return statement of the powermod function must include a modulus operation to ensure the result is within the range of 0 to c-1.']"
191,Avoid Alternatives,1,['Avoid providing alternative solutions or additional context.']
192,Technical Accuracy,1,"['Maintain technical accuracy while minimizing verbosity.', 'Ensure that the distance calculation in the _update_distance method uses integer division // to maintain integer results for distance in kilometers.']"
193,Focus on Bug Fix,1,"['Focus solely on the specific bug fix without additional explanations.', ""Directly address the bug in the code without elaborating on the problem's background.""]"
194,Response Clarity,1,"['Ensure the response is concise and to the point.', 'Ensure the response is clear and straightforward, avoiding unnecessary complexity.']"
195,Type Hinting,1,['Use `LinkedList` without quotes in the type hint for the Cons class constructor.']
196,Method Type,1,"['The `sort_with_tiebreaker` method should be an instance method, not a static method.']"
197,Method Refactoring,1,['Refactor the GPA increment functionality into a method within the `Student` class.']
198,Coding Style,1,"['Maintain a consistent coding style, using indentation and spacing to enhance readability.']"
199,Complexity Management,1,"[""Avoid complex or convoluted logic that could obscure the function's purpose or operation."", 'Ensure the code is efficient and avoids unnecessary computations or data structures.']"
200,Logical Structure,1,"['Maintain a logical structure with clear separation of steps, using nested loops and conditionals where appropriate.']"
201,Sorting Logic,1,['Implement sorting logic that first sorts items by primary comparator and then applies tiebreaker sorting within each bucket.']
202,Data Structure Efficiency,1,"['Use efficient data structures, such as dictionaries, to organize items by primary comparator.']"
203,Commenting and Documentation,1,"['Include comments to explain the logic, especially for key steps like bucket creation and sorting.']"
204,Function Clarity,1,"['Ensure the function definition is clear and concise, avoiding unnecessary verbosity.', 'Provide a straightforward implementation without excessive error handling, focusing on the core sorting logic.']"
205,Edge Processing,1,"['Implement edge relaxation using a single loop over the list of edges.', 'Perform negative cycle detection after completing the relaxation process with a single loop over the list of edges.', 'Add edges using a method that appends a tuple (from_node, to_node, weight) to the edges list without adding bidirectional edges.']"
206,Algorithm Implementation,1,"['Implement the Bellman-Ford algorithm to handle negative weights.', 'Iterate exactly len(nodes) - 1 times to relax edges.', 'After relaxation, check for negative weight cycles and raise a ValueError if found.']"
207,Control Flow Restrictions,1,"['Avoid using `for`, `while`, or `map` in any part of the code.']"
208,Dynamic Execution,1,"[""Use the 'exec' statement in a string form in Python 2 to allow dynamic evaluation of code."", 'Ensure backward compatibility for dynamically executed code using exec_ in mixed-version codebases.']"
209,Frame Retrieval,1,"['In the Python 2 version of exec_, retrieve the caller frame if globals and locals are not provided.']"
210,Built-in Assignment,1,"['In Python 3, assign exec_ using __builtins__[""exec""] to avoid direct use of exec keyword.', 'In Python 3, map raw_input to input to maintain compatibility with Python 2 code.']"
211,Exclusions,1,"['Exclude detailed explanations of each component or assumptions about external dependencies.', 'Do not include error handling mechanisms and validation checks.', 'Exclude examples of usage beyond the provided CLI setup.']"
212,Implementation Constraints,1,['The implementation must not rely on external services or actual databases; only the provided mock client is allowed.']
213,Shorthand Generation,1,['The Station class must generate a shorthand name using the first word of the station_name.']
214,Data Retrieval Specifications,1,"['The find_station_id and find_region_id methods must call sde_client.Station().getStations() with the correct stationName format.', ""The getStations method must return a list of dicts, each with 'stationID' and 'regionID' keys."", 'The getStations method in MockSDEClient must extract the station name and return the corresponding data.']"
215,Method Requirements,1,"['The Station class must have methods to retrieve station ID and region ID using the mock SDE client.', 'The Station class must provide getter methods: get_station_name, get_station_id, get_region_id, get_station_shorthand.']"
216,Initialization Requirements,1,['The Station class must be initialized with sde_client and station_name parameters.']
217,Layout Verification,1,"[""Check input box centering using `location['x'] + size['width'] / 2` and compare with half the window width.""]"
218,Solution Requirements,1,"[""Provide a concise solution using Python's string manipulation capabilities."", 'Include a specific example with a code snippet demonstrating the solution.', 'Ensure the response is easy to understand and implement.']"
219,User Session Management,1,"['Handle browser sessions separately for multiple users to ensure list uniqueness.', 'Navigate to pages using `self.browser.get` and verify navigation results.', 'Use Firefox WebDriver for browser automation.']"
220,Test Method Requirements,1,"['Use `check_for_row_in_list_table` to verify list items.', ""Assertions must confirm the page title contains 'To-Do' and the header contains 'To-Do lists'."", ""Validate unique URLs for each user's list using the regex pattern '/lists/.+'.""]"
221,Test Class Structure,1,"['The test class must extend from `unittest.TestCase`.', 'Include `setUp` and `tearDown` methods for initializing and closing the browser.']"
222,API Interaction,1,"['Use API methods `get_recent_messages` and `mark_message_as_read` for reading and marking messages.', 'Implement real-time event handling using a separate `EventListener` class.']"
223,Character Wrapping,1,"[""Use the modulo operation to ensure proper wrapping of characters from 'z' to 'a' and 'Z' to 'A'.""]"
224,UI Setup,1,['Implement a `setup_ui` method to initialize UI elements and use colored output for group names.']
225,Method Documentation,1,['Provide docstrings for each method to describe its functionality and parameters.']
226,Function Naming,1,"[""The function name must be 'calculate_distinct_average'."", ""The parameter name must be 'array'.""]"
227,Edge Case Handling,1,['Handle edge cases such as lists with negative integers and single element lists.']
228,Return Type,1,['Return the average as a float.']
229,Unique Element Calculation,1,['Use a set to calculate the average of unique elements only.']
230,Search Functionality,1,"[""Ensure the search for the word 'error' is case-insensitive.""]"
231,Code Comments,1,"['Include a comment in the code explaining why files with zero matches are included in the result dictionary.', ""Include a comment about setting the file's count in the result dictionary, even if it's 0.""]"
232,Variable Naming,1,"[""Use 'result' as the name for the dictionary storing file paths and error counts.""]"
233,Directory and File Handling,1,"['Ensure the directory existence check uses os.path.isdir and raises a ValueError if the directory does not exist.', 'Use os.path.relpath to convert file paths to relative paths before storing them in the result dictionary.', ""Use 'glob.glob(f'{dir_path}/**/*.txt', recursive=True)' to search for text files.""]"
234,Negative Rotation Handling,1,['Handle negative rotation values to allow rotation in the opposite direction.']
235,Predefined Strings Usage,1,"[""Use predefined strings 'abcdefghijklmnopqrstuvwxyz' and 'ABCDEFGHIJKLMNOPQRSTUVWXYZ' for handling lowercase and uppercase rotations respectively.""]"
236,Context Management,1,['Use a context manager to open the attachment file.']
237,Message Broker Interaction,1,"[""Connect to RabbitMQ using pika and set up a topic exchange with routing key '#'."", 'Include error handling for database and message broker connectivity issues.', 'Define a callback function for processing messages that includes JSON parsing and database storage.']"
238,SMTP Connection Management,1,"['Connect to the SMTP server using the provided server address and port.', 'Log in to the SMTP server using the provided credentials and handle exceptions.', 'Close the SMTP server connection properly.']"
239,File Attachment Handling,1,"['Attach the file using `MIMEBase` and handle exceptions during attachment.', 'Encode the attachment using base64.']"
240,MIME Email Creation,1,['Implement MIME multipart email creation with subject and body attachment.']
241,Simulation Mechanics,1,"['Focus on core simulation mechanics, avoiding detailed explanations of neural network architecture or genetic algorithms.', 'Limit the simulation setup to basic requirements, excluding extensive physics or graphics handling.', ""Maintain concise responses directly related to the simulation's core mechanics.""]"
242,Module Dependencies,1,"['Use external modules such as pygame, math, and custom modules like utility, data, and neural_net.']"
243,Neural Network Configuration,1,['Ensure the neural network has defined input and output configurations for steering decisions.']
244,Collision Detection,1,"['Include methods for collision detection with checkpoints and walls, and manage car death and simulation restarts.']"
245,Rendering and Event Handling,1,"['Integrate Pygame for rendering the car, sensors, and handling user events.']"
246,Class Implementation,1,"['Implement a Car class with methods for movement, rotation, and sensor updates.', 'Develop a Sensor class with methods for updating positions and detecting wall collisions.']"
247,Console Output,1,"['Provide console output indicating when a message is received and when it is stored in the database.', 'Use `os.path.basename(__file__)` in console output to indicate the script name.', 'Print a new line after receiving a message to match console output format.']"
248,Functionality Focus,1,"['Focus on core functionality and clarity, avoiding complex error handling or customization options.']"
249,Index Calculation,1,"[""Calculate the new character index by finding the character's position in the respective alphabet string and applying the rotation using modulo 26.""]"
250,Figure Layout,1,"[""Set an appropriate title for the figure ('Google Mobility Reports') and each subplot.""]"
251,Data Plotting,1,"[""Plot each region's data in a different color and include a legend only in the first subplot to avoid clutter.""]"
252,Data Parsing,1,"['Parse the date column as datetime.', ""Filter data based on the specified regions and level of detail using 'country_region_code' for country level or 'sub_region_2' for subregion level.""]"
253,Function Parameters,1,"[""Accept parameters for the CSV file path, level of detail ('country' or 'subregion'), and regions to include.""]"
254,Visualization Library,1,['Use Plotly for creating subplots and visualizing data trends.']
255,Conversion Logic,1,"['In `steps_to_mm`, use division by `STEPS_MM` to convert steps to millimeters.', 'In `mm_to_steps`, use multiplication by `STEPS_MM` to convert millimeters to steps.', 'In `frequency_to_delay`, use the formula `(1 / frequency) * (10**6)` to convert frequency to delay in microseconds.']"
256,Functionality Demonstration,1,['Provide a main function with specific test cases to demonstrate the functionality of each utility function.']
257,Generator Design,1,['Design the `chunks` function to yield chunks as a generator.']
258,Modularity,1,['Use a configuration module to define constants like `STEPS_MM` for modularity.']
259,Index-Based Logic,1,['Ensure that the rotation logic strictly uses the index-based approach from the alphabet strings rather than ASCII arithmetic.']
260,Code Explanation,1,"['Explain the code briefly to ensure clarity and understanding.', 'Highlight the use of HTML tags in the context of Python string manipulation.']"
261,Functionality Preservation,1,"['Keeps the core functionality unchanged: reads a CSV, normalizes column names to lowercase, and loads the data into the pcawg_samples table.']"
262,Code Execution,1,['Ensure the code is executable and correctly calculates the distance and angle.']
263,Index Definition,1,"['Defines two index lists: second = [1, 2] and third = [3, 4], corresponding to the 2nd and 3rd dimensions.']"
264,Data Slicing,1,"[""Slices the array to discard elements that don't fit evenly into bins: data[:, :(data.shape[1] // bin_size) * bin_size].""]"
265,Parameter Definition,1,['Specifies a bin size bin_size = 3.']
266,Condition Checking,1,"['Checks for the presence of NaN values in each array using np.isnan(arr), which returns a boolean array.', 'Applies any() to check if at least one NaN exists in the array.', 'Ensures that all arrays in the list must contain at least one NaN for the final result to remain True.']"
267,Control Structures,1,"['Iterates over each array arr in the list using a for loop.', 'If no NaN is found in an array, it sets result = False and exits the loop early using break.']"
268,Data Initialization,1,"['Initializes a list a containing multiple NumPy arrays.', 'Initializes a boolean flag result = True to track the outcome.']"
269,Color Mapping,1,"['The plot uses default color mapping (viridis by default in matplotlib).', 'Color intensity in the heatmap corresponds to the magnitude of the values in the matrix.', 'The colorbar provides a visual legend for interpreting the value-color mapping.']"
270,Data Visualization,1,"['Visualizes the 2D matrix using plt.imshow(data), which displays the data as an image-like heatmap.', 'Applies a colorbar using plt.colorbar() to indicate the value scale of the heatmap.']"
271,Indexing Techniques,1,"['Demonstrates correct use of multi-dimensional indexing over chained indexing (which fails).', 'Avoids a[:][second][third] since chained indexing breaks desired dimensional referencing.']"
272,Advanced Indexing,1,"['Performs advanced indexing with broadcasting to extract elements.', 'Converts second into a column vector using .reshape(-1,1) to enable broadcasting with third.', 'Selects data from all elements in the first axis.']"
273,Numpy Usage,1,"['Uses numpy to handle high-dimensional array manipulation.', 'Initializes a 3D array a of shape (5, 5, 5) with random values using np.random.rand.']"
274,Mean Calculation,1,"['Computes the mean of each bin using .mean(axis=-1), resulting in a (num_rows, num_bins) array.']"
275,Dataset Loading,1,"[""Loads the built-in 'tips' dataset using sns.load_dataset.""]"
276,DataFrame Preservation,1,['Uses df.copy() to preserve the original DataFrame.']
277,Min-Max Normalization Calculation,1,['Calculates the min-max normalized value as (b_i - Min) / (Max - Min) and appends to the min_max list.']
278,Softmax Calculation,1,['Calculates the softmax value for row i as exp(b_i) / exp_Sum and appends it to the softmax list.']
279,Softmax Accumulation,1,['Accumulates the exponential values exp(b_j) from the group to calculate the softmax denominator.']
280,Min-Max Calculation,1,"[""Computes minimum and maximum values of column 'b' in the current group for min-max normalization.""]"
281,Group Statistics Initialization,1,"[""For each i, initializes Min, Max, and exp_Sum to compute statistics within the same group (based on df['a']).""]"
282,Outer Loop,1,['Iterates over each row index i using an outer for loop.']
283,List Initialization,1,['Initializes two empty lists: softmax and min_max to store computed values for each row.']
284,Data Reshaping,1,"['Reshapes the sliced array to (num_rows, num_bins, bin_size) using .reshape(data.shape[0], -1, bin_size).']"
285,Partial Bin Handling,1,['Ensures that partial bins at the end are dropped if their size < bin_size.']
286,Randomness Control,1,['Ensures reproducibility using random.seed() and np.random.seed().']
287,Layout Management,1,['Applies plt.tight_layout() to ensure labels and titles do not overlap.']
288,Data Encoding,1,['Base64-encodes the encrypted private key for safe text storage.']
289,Key Serialization,1,['Serializes the private key using priv_key.save_pkcs1() before encryption.']
290,Nonce Handling,1,['Extracts the nonce from the AES cipher object for later decryption.']
291,Encryption Method,1,['Uses AES in EAX mode to encrypt the serialized private key for both confidentiality and integrity.']
292,Password Generation,1,['Creates a random 16-byte password using Crypto.Random.get_random_bytes for AES encryption.']
293,Key Generation,1,['Generates an RSA public/private key pair with 512-bit key length using rsa.newkeys.']
294,Processing Steps,1,"['Constructs a contingency table using pd.crosstab(col1, col2).', 'Performs a chi-square test of independence using scipy.stats.chi2_contingency.']"
295,Input Requirements,1,"['Accepts a Pandas DataFrame and two column names as input for statistical testing.', 'Validates inputs by checking:', 'If the DataFrame is empty.']"
296,Return Structure,1,"['Returns a tuple:', 'A Figure object containing the plots.', 'A NumPy array of Axes objects, one for each subplot.']"
297,Plotting Functions,1,"['Plots the sine function on the first subplot.', 'Plots the cosine function on the second subplot.']"
298,Matrix Operations,1,"['Concatenates two csr_matrix objects horizontally.', 'Uses sparse.hstack to preserve sparse format during stacking.', 'Converts the result back to csr_matrix using .tocsr().']"
299,Figure Initialization,1,['Initializes a Matplotlib figure with two subplots stacked vertically using plt.subplots.']
300,Output Structure,1,"['The final DataFrame has:', ""Column 'Original String': the original input strings."", ""Column 'Modified String': the strings with one part randomly replaced.""]"
301,Regex Operations,1,"[""Uses re.findall('(.*?)(?:\\[.*?\\]|$)', text) to extract all text outside square brackets, treating bracketed content as non-capturing.""]"
302,CDF Calculation,1,"['Computes the cumulative distribution function (CDF) by applying a lambda function column-wise.', 'Uses value_counts() to count occurrences of each unique value.', 'Sorts values in ascending order with sort_index().']"
303,Backup Retrieval,1,"['Uses os.listdir and sorted to retrieve and sort the list of available backups.', 'Selects the latest backup by choosing the last element from the sorted backup list.']"
304,Backup Directory Checks,1,"['Uses os.path.exists to check for the existence of the backup directory and target directory.', 'Assumes backups are stored as subdirectories under /tmp/backup.']"
305,Output Validity,1,['Produces a valid sparse matrix suitable for downstream ML pipelines.']
306,Error Prevention,1,['Prevents type errors by avoiding Python list concatenation.']
307,Performance Considerations,1,['Ensures efficient memory usage and performance for large sparse data.']
308,DataFrame Initialization,1,"[""Initializes the DataFrame with columns 'a' (group identifier) and 'b' (values to normalize).""]"
309,Differentiability,1,"['The approach is differentiable up to the argmax operation, which is non-differentiable (but suitable for inference).']"
310,Tensor Operations,1,"['Uses torch.argmax() to find the index of the maximum value (i.e., the most probable class) per input row.', 'Specifies dim=1 in argmax to operate across columns (i.e., per row in the n x 3 tensor).', 'Returns a 1D tensor of predicted class indices for each row.']"
311,Restrictions,1,['The built-in math.factorial() function or any external libraries are not used.']
312,Flexibility and Reusability,1,"['The function can be reused for different joke sets and different desired output lengths, making it flexible and extensible.']"
313,Type Expectations,1,"['All string attributes are expected to be of type str, age is expected to be int, and is_endangered is a bool.']"
314,String Representation,1,"['The __str__ method provides a formatted string representation of the animal object, including all its attributes.']"
315,Behavior Methods,1,"['The make_sound method prints the sound associated with the animal.', ""The method calculate_age_in_human_years multiplies the animal's age by 7 to simulate its age in human years.""]"
316,Docstrings,1,"['All methods include detailed docstrings explaining their purpose, parameters, and expected behavior.']"
317,Setter Methods,1,"['Each attribute has a corresponding setter method (set_species, set_name, etc.) to update its value.']"
318,Getter Methods,1,"['Each attribute has a corresponding getter method (get_species, get_name, etc.) to retrieve its value.']"
319,Constructor,1,['The constructor __init__ initializes all attributes using the provided arguments.']
320,Attributes,1,"['The class defines six attributes: species, name, age, gender, is_endangered, and sound.']"
321,Complexity,1,"['The time complexity of the recursive function is O(n), as each call reduces n by 1.']"
322,Title Addition,1,"[""Adds a title to the plot using plt.title('Log-Scaled Line Plot').""]"
323,Output Suitability,1,['Ensures the output is directly suitable for display in an HTML-rendered environment.']
324,Variable Management,1,['Do not alter the original sentence directly; store the modified version in a new variable like new_sentence.']
325,String Manipulation Techniques,1,"['Perform the substitution using Python’s .replace() method for string replacement.', ""Replace the specific word 'apples' with its tagged HTML version.""]"
326,HTML Tagging Methodology,1,"['Embed the HTML tag using an f-string to dynamically insert the tag name around the target word.', ""Uses a minimal and semantic HTML structure: <span class='...'>...</span>.""]"
327,Input Integrity,1,['Did not mutate the input points; ensure inputs remain untouched throughout the computation.']
328,Variable Scope,1,['Did not use global variables and all inputs are explicitly passed.']
329,Safety in Calculations,1,['Angle formula divides only after ensuring denominator (distance) is computed.']
330,Input Assumptions,1,"['Assumes input is 3D and operates on x, y, z coordinates.']"
331,Vector Calculation,1,"['Vector components are computed as point2 - point1, respecting directionality.']"
332,Functionality Description,1,"['It specifies that enumerate() returns an enumerate object containing (index, item) pairs.', 'The code demonstrates that enumerate enhances readability and eliminates the need for manual index tracking using range(len(...)).']"
333,Test Module Creation,1,"['A test module (test_calculate_area.py) is created using pytest, targeting the core function with multiple assertions to cover edge and typical cases.']"
334,Test Suite Robustness,1,['The test suite is designed to ensure correct behavior and to be robust enough to detect any logical mutations in the implementation.']
335,Mutation Testing Tool,1,['The mutmut tool is used to generate and test mutations of the source code against the defined test suite.']
336,Axis Scaling,1,"[""Applies a logarithmic scale to the y-axis using plt.yscale('log').""]"
337,Data Unzipping,1,['Uses zip(*points) to unzip the list of tuples into separate x and y sequences.']
338,Data Structure Definition,1,['Defines a list of coordinate tuples called points.']
339,Erroneous Code Characteristics,1,"['Results in a list where the second list is appended to the first, breaking global order.', 'Demonstrates a logical error, not a syntax error.', 'Used for illustration of what happens when sorting is omitted.']"
340,Assumptions,1,['Assumes input lists are already sorted and contain unique elements.']
341,Performance Measurement,1,"['Measures execution time using time.time().', 'Computes and reports time to 4 decimal places.']"
342,Password Generation Logic,1,"['Uses random.choice() to select characters.', 'Uses a while loop to retry until a valid password is found.', 'Password is stored in a temporary variable before validation.']"
343,Password Criteria,1,"['Ensures at least one uppercase letter is included.', 'Ensures at least one lowercase letter is included.', 'Ensures at least one digit is included.']"
344,Character Set Definitions,1,"['Uses string.ascii_lowercase for weak complexity.', 'Uses string.ascii_letters + string.digits for medium complexity.', 'Uses string.ascii_letters + string.digits + string.punctuation for strong complexity.']"
345,User Input Requirements,1,"['Accepts a user-specified password length.', ""Accepts a user-specified complexity level ('weak', 'medium', 'strong').""]"
346,Calculation Logic,1,"['Each fee, discount, and surcharge is computed and applied based on the most recent version of total, not the original price.']"
347,Total Adjustments,1,"['The total is rounded to two decimal places immediately after applying the discount.', 'A 5% surcharge is added only if the rounded total falls strictly between $500 and $1000.', 'If the post-surcharge total is still below $100, a $50 flat service fee is added.']"
348,Tax Calculation,1,"['The function calculates the base tax at a fixed rate of 20% on the input price.', 'If the original price exceeds $1000, a 10% discount is applied based on the original price (not the taxed amount).']"
349,Coverage Report,1,['An HTML coverage report is used to aid in identifying untested code paths and improving the test suite.']
350,Coverage Requirement,1,['The solution emphasizes achieving at least 90% code coverage as part of mutation testing to validate test completeness.']
351,Coverage Command,1,['The command pytest --cov=calculate_area --cov-report=html mutants/ ensures coverage data is collected and visualized.']
352,Code Coverage Measurement,1,['Code coverage measurement is integrated using the pytest-cov plugin to quantify test effectiveness.']
353,Test Runner,1,"['pytest is used as the test runner, ensuring that tests are executed in a familiar and widely used testing framework.']"
354,Mutation Process,1,['The mutation testing process includes generating mutants (mutmut run) and reviewing killed vs. surviving mutants (mutmut results).']
355,Filename Construction,1,"['Constructs the output filename using os.urandom(8).hex() to generate a unique 8-byte hex suffix.', ""Writes the encrypted private key to a .txt file named 'private_key_<hex>.txt'.""]"
356,Output Specification,1,"[""Returns a tuple of the histogram plot's Axes object and the sorted random number list.""]"
357,Output Formatting,1,"['Output the distance rounded to two decimal places.', 'Output the vector components clearly labeled.', 'Output the angle with the x-axis rounded to two decimal places.']"
358,Node Type Modification,1,"['The Node type has been generalized from a specific alias (OrientedDNASegment) to a union type: Union[OrientedDNASegment, str].', 'This change allows Node to represent either a structured DNA segment or a simple string identifier, increasing flexibility.']"
359,Data Structuring,1,"['Prepares headers for different spin possibilities: S (singlet), T (triplet), P (pentet), D (doublet), and Q (quartet).', 'Lays groundwork for extensibility (e.g., filling in spinstates) while ensuring the core table structure is already in place.']"
360,Energy Evaluation,1,"['Processes each structure to evaluate energies of different spin states using the spinstates method.', 'Collects spin state energy data into a tabulated format suitable for CSV output.']"
361,Database Connection Configuration,1,"['Replaces localhost with a service URL run-tracking-db.service.consul in the PostgreSQL connection string to support service-based database resolution.', 'Maintains secure credential embedding (pcawg_admin:pcawg) and specifies the same database name (germline_genotype_tracking).']"
362,Database Configuration,1,"['Replaces localhost with a service URL run-tracking-db.service.consul in the PostgreSQL connection string to support service-based database resolution.', 'Maintains secure credential embedding (pcawg_admin:pcawg) and specifies the same database name (germline_genotype_tracking).']"
363,Robustness and Reliability,1,['Improves robustness and reliability by validating each critical step in the measurement process.']
364,Communication Validation,1,"['Uses the return value of sensor.measure() to verify successful communication with the sensor before accessing sensor.ppm.', 'Adds error handling to gracefully report sensor communication issues.']"
365,Initialization Checks,1,"['Checks the return value of sensor.begin() to ensure sensor initialization succeeded before proceeding.', 'Exits the program with an error message if initialization fails.']"
366,Use Case Expansion,1,"['The update supports broader graph construction use cases, such as temporary or placeholder node identifiers during processing or debugging.']"
367,Compatibility Preservation,1,"['No other types were modified, preserving compatibility with existing code for Edge, Path, Bubble, and AlignmentsT.']"
368,Code Extensibility,1,['Improves code extensibility for downstream classes that implement VLAN update logic.']
369,Functionality and Design,1,"['Uses standard BM25 scoring formula with parameters `k1` and `b` to compute relevance scores.', 'Supports ranking documents by computing BM25 scores for a given query across the entire corpus.', 'Implements modular design by separating initialization, scoring, and ranking logic for clarity and reuse.']"
370,Return Value Standardization,1,"['Keeps return values standardized (lists), ensuring compatibility with expected calling patterns.']"
371,Dynamic Configuration Support,1,['Enhances the ValveManagerBase API to support dynamic VLAN reconfiguration without requiring deletion and re-addition.']
372,Consistency in Naming,1,['Maintains consistent method naming and docstring style aligned with add_vlan and del_vlan.']
373,Data Mapping,1,['Constructs a dictionary mapping function names to parsed objects for more granular checks.']
374,Assertions and Validations,1,"['Verifies that the parsed function long_func contains exactly 8 lines in its body.', 'Confirms the presence of specific function names (get_self, return_value, long_func) in the parsed result.']"
375,Test Structure Improvements,1,"['Replaces the debugging call (ipdb.set_trace()) with assertions for automated testability.', 'Improves test reliability and automation by eliminating manual inspection and focusing on structured assertions.']"
376,Unit Test Characteristics,1,"['Adds a unit test for validating Groovy source parsing using the parse function.', 'Uses unittest.TestCase for integration into standard Python test runners.']"
377,Execution Process,1,"['Updates the execution step to use the temporary compiled file (tmp/import-optional-missing.neonx) instead of the default path.', 'Leverages subprocess.check_output and subprocess.check_call for clear execution and error reporting.']"
378,Output Management,1,"['Specifies an output path using -o tmp/import-optional-missing.neonx to direct the compiled file into a temporary directory.', 'Avoids polluting the source directory (t/) with compiled artifacts.', 'Supports clean separation between source and build artifacts, enabling better test hygiene and cleanup.']"
379,Optimization Techniques,1,"['Precomputes document frequencies and term frequencies during class initialization to avoid repeated calculations.', 'Stores inverse document frequency (IDF) values once using a logarithmic formula with smoothing.', 'Caches term frequencies for each document in a list of dictionaries (`self.doc_freqs`).']"
380,Caching Mechanism,1,"['Caches term frequencies for each document in a list of dictionaries (`self.doc_freqs`).', 'Stores inverse document frequency (IDF) values once using a logarithmic formula with smoothing.']"
381,Search Mechanism,1,"[""Performs a case-insensitive regex search for the word 'error' using re.IGNORECASE."", 'Ensures whole-word matching using \\b word boundaries in the regex.']"
382,Algorithmic Approach,1,['Uses recursion to traverse and rebuild the list during removal.']
383,COMPATIBILITY,1,['Retains compatibility with all string inputs by using a built-in string method (upper) that is safe and non-destructive.']
384,FORMAT,1,"['Keeps the original message format and string interpolation intact.', 'Introduces no changes to the structure or logic of the function beyond the case conversion.']"
385,TRANSFORMATION,1,"['Applies a transformation using str.upper() to convert the input name to all uppercase characters.', ""Ensures the output string reflects an uppercase version of the user's name before the 'says, Hello World!' message.""]"
386,Algorithm Design,1,"['Applies sequential passes for each combo pattern using index-based string traversal.', 'Safely mutates string copy for masking, ensuring original string integrity.', 'Maintains the core structure of vowel-based syllable estimation while adding phonetic nuance.']"
387,Code Clarity and Modularity,1,"['Function signatures and behavior stay consistent with original intentions, enhancing clarity and modularity.', 'Makes the modular exponentiation step reusable across other cryptographic applications.']"
388,Performance Improvement,1,"['Replaces math.pow with powermod to avoid floating-point inaccuracies and improve performance.', 'Optimized for large exponents via divide-and-conquer (recursive halving).', 'Avoids unnecessary recomputation by separating exponentiation logic from coprimality check.']"
389,Code Consistency,1,"['Keeps consistent method naming and class structure with the original code.', 'Keeps interface unchanged for add_steps, get_steps, and get_distance methods.', 'Compatible with the FitnessTracker wrapper without any changes.']"
390,Encapsulation,1,['Preserves encapsulation by keeping _update_distance() as a private method.']
391,Bug Fixes,1,"['Fixes the off-by-one error in distance calculation by removing - 1 from the distance update formula.', 'Ensures the distance is correctly computed as the integer division of steps by steps_per_km.']"
392,Behavioral Characteristics,1,"['Removes only the first occurrence of the target element.', 'Does not raise an error if the element is not found—returns the list unchanged.', 'In Cons, if the head (first) matches the element, the rest of the list is returned (effectively removing the match).']"
393,Scoring Methodology,1,"['Uses standard BM25 scoring formula with parameters `k1` and `b` to compute relevance scores.', 'Supports ranking documents by computing BM25 scores for a given query across the entire corpus.']"
394,Flexibility,1,"['Works with any callables passed as primary and tiebreaker, allowing flexible comparator logic.']"
395,Determinism,1,['Provides deterministic ordering when both primary and tiebreaker comparators are deterministic.']
396,Sorting Methodology,1,"['Does not rely on lambda chaining or tuple-based keys; instead, explicitly separates sorting phases.', ""Ensures stable sorting within primary equivalence classes using Python's built-in sorted.""]"
397,Grouping Logic,1,"['Groups items by the value returned from the primary comparator.', 'Uses dictionary-based bucketing to organize items sharing the same primary key.']"
